EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10320728,CLINTON CO.,St.Rose,05/27/1995,1620,Thunderstorm Wind,0, ,0,0,246,0,IL,CST, , ,C,27, ,0,0, , ,0,0, , , , , ,05/27/1995,1620, , , , ,"Numerous barns in and around St. Rose sustained damage and grain bins were toppled over.  Power lines were also knocked down with power outages in Trenton and New Baden. ","",1
10322546,MARION CO.,Sandoval,05/27/1995,1652,Thunderstorm Wind,0, ,0,0,200,0,IL,CST, , ,C,121, ,0,0, , ,0,0, , , , , ,05/27/1995,1652, , , , ,"Large trees were blown down along Highway 51. ","",2
10320668,GREENE CO.,White Hall,05/27/1995,1715,Tornado,0,F1,0,0,145,0,IL,CST, , ,C,61, ,0,0, , ,8,120, , , , ,Manchester,05/27/1995,1735,39.43,-90.40,39.53,-90.33,"The Illinois State Police and storm spotters followed a tornado from the White Hall area to near Manchester.  The tornado lifted off the ground at times but did damage several farm buildings and trees as it traveled nearly parallel to Highway 267. ","",3
10323013,MONTGOMERY CO.,Hillsboro,05/27/1995,1717,Thunderstorm Wind,0, ,0,0,104,0,IL,CST, , ,C,135, ,0,0, , ,0,0, , , , , ,05/27/1995,1717, , , , ,"Trees and power lines were blown down.  A house also sustained heavy structural damage to the roof. ","",4
10322914,WARREN CO.,Little York,05/27/1995,1725,Tornado,0,F0,0,0,5000,0,IL,CST, , ,C,187, ,0,0, , ,.1,50, ,S, , , ,05/27/1995,1725,41.00,-90.75, , ,"A brief tornado touchdown tossed one grain bin off its foundation striking power lines.  Tree damage was also reported.   ","",5
10322257,MORGAN CO.,Meredosia,05/27/1995,1745,Tornado,0,F0,0,0,0,0,IL,CST, , ,C,137, ,0,0, , ,.1,10, , , , , ,05/27/1995,1745,39.83,-90.57, , ,"A tornado caused minor damage to several buildings in Meredosia.  Several trees and power lines were reported down and there was some crop damage.  No damage estimate was available. ","",6
10320299,KNOX CO.,Galesburg,05/27/1995,1750,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,95, ,0,0, , ,0,0, ,NE, , , ,05/27/1995,1750, , , , ,"Thunderstorm winds blew down 35 to 40 trees in a cemetary 1 NE of Galesburg. ","",7
10320259,HENRY CO.,Galva,05/27/1995,1820,Tornado,0,F0,0,0,0,0,IL,CST, , ,C,73, ,0,0, , ,.1,50, , , , , ,05/27/1995,1820,41.12,-89.97, , ,"A small tornado ripped large tree limbs off three trees of the Don and LeAnn Doubler residence.  A nearby railroad crossing sign was snapped off and tossed on the ground.  ","",8
10320684,CHRISTIAN CO.,Mt. Auburn,05/27/1995,1828,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,21, ,0,0, , ,0,0, , , , , ,05/27/1995,1828, , , , ,"Thunderstorm winds damaged the doors on a shed. ","",9
10320575,BUREAU CO.,Sheffield,05/27/1995,1845,Tornado,0,F0,0,0,20000,0,IL,CST, , ,C,11, ,0,0, , ,.5,50, , , , , ,05/27/1995,1845,41.35,-89.73, , ,"A tornado touched down just on the edge of town causing severe damage to a large barn on the Robert Vander-Meersch farm.  Some trees were also twisted and damaged at this time.  The short damage path of this tornado skipped into town where it destroyed several out buildings near the school.   ","",10
10320685,CHRISTIAN CO.,Stonington,05/27/1995,1855,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,21, ,0,0, , ,0,0, , , , , ,05/27/1995,1855, , , , ,"A large maple tree was blown over onto County Road 4. ","",11
